==============================================================================
NEW TEST STARTED -> REFERENCE ANGLE: 0.0000 rad
==============================================================================
Time (ms),Original Ref (rad),Final Ref (rad),Angle (rad),TrialNum,TrialValue,U_Actual (V)
545,0.00000,0.00000,0.00000,1,0.00,0.00016
550,0.00000,0.00000,-0.01428,1,0.00,-0.58638
555,0.00000,0.00000,0.01428,1,0.00,0.14928
560,0.00000,0.00000,0.00000,1,0.00,-0.00887
565,0.00000,0.00000,-0.02856,1,0.00,-0.65395
570,0.00000,0.00000,0.00000,1,0.00,0.00855
575,0.00000,0.00000,0.01428,1,0.00,0.12700
580,0.00000,0.00000,-0.01428,1,0.00,-0.60363
585,0.00000,0.00000,0.00000,1,0.00,0.09538
590,0.00000,0.00000,0.02856,1,0.00,0.21116
595,0.00000,0.00000,0.01428,1,0.00,0.13939
600,0.00000,0.00000,-0.01428,1,0.00,-0.58169
605,0.00000,0.00000,0.00000,1,0.00,0.00947
610,0.00000,0.00000,0.00000,1,0.00,-0.55643
615,0.00000,0.00000,-0.01428,1,0.00,-0.61226
620,0.00000,0.00000,0.00000,1,0.00,0.00121
625,0.00000,0.00000,0.01428,1,0.00,0.11998
630,0.00000,0.00000,-0.01428,1,0.00,-0.62388
635,0.00000,0.00000,0.01428,1,0.00,0.13746
640,0.00000,0.00000,0.02856,1,0.00,0.20656
645,0.00000,0.00000,0.00000,1,0.00,-0.00605
650,0.00000,0.00000,-0.01428,1,0.00,-0.57984
655,0.00000,0.00000,0.01428,1,0.00,0.15391
660,0.00000,0.00000,-0.01428,1,0.00,-0.60459
665,0.00000,0.00000,-0.01428,1,0.00,-0.59712
670,0.00000,0.00000,0.00000,1,0.00,0.00831
675,0.00000,0.00000,0.01428,1,0.00,0.12441
680,0.00000,0.00000,-0.01428,1,0.00,-0.60623
685,0.00000,0.00000,0.00000,1,0.00,0.09613
690,0.00000,0.00000,0.01428,1,0.00,0.14859
695,0.00000,0.00000,-0.01428,1,0.00,-0.59302
700,0.00000,0.00000,-0.01428,1,0.00,-0.57828
705,0.00000,0.00000,0.00000,1,0.00,0.10161
710,0.00000,0.00000,0.00000,1,0.00,-0.00561
715,0.00000,0.00000,-0.02856,1,0.00,-0.66791
720,0.00000,0.00000,-0.01428,1,0.00,-0.60446
725,0.00000,0.00000,0.01428,1,0.00,0.12137
730,0.00000,0.00000,-0.01428,1,0.00,-0.60978
735,0.00000,0.00000,0.00000,1,0.00,0.00986
740,0.00000,0.00000,0.02856,1,0.00,0.19158
745,0.00000,0.00000,0.00000,1,0.00,-0.00333
750,0.00000,0.00000,-0.01428,1,0.00,-0.58521
755,0.00000,0.00000,0.07140,1,0.00,0.36668
760,0.00000,0.00000,0.00000,1,0.00,-0.56710
765,0.00000,0.00000,-0.02856,1,0.00,-0.67201
770,0.00000,0.00000,0.01428,1,0.00,0.11766
775,0.00000,0.00000,0.01428,1,0.00,0.11412
780,0.00000,0.00000,-0.01428,1,0.00,-0.61318
785,0.00000,0.00000,-0.01428,1,0.00,-0.58751
790,0.00000,0.00000,0.04284,1,0.00,0.25356
795,0.00000,0.00000,0.00000,1,0.00,-0.00082
800,0.00000,0.00000,-0.01428,1,0.00,-0.58370
805,0.00000,0.00000,0.00000,1,0.00,0.00724
810,0.00000,0.00000,0.01428,1,0.00,0.13503
815,0.00000,0.00000,-0.02856,1,0.00,-0.65200
820,0.00000,0.00000,0.01428,1,0.00,0.15664
825,0.00000,0.00000,0.01428,1,0.00,0.14570
830,0.00000,0.00000,-0.01428,1,0.00,-0.59195
835,0.00000,0.00000,-0.01428,1,0.00,-0.56152
840,0.00000,0.00000,0.02856,1,0.00,0.22598
845,0.00000,0.00000,0.00000,1,0.00,0.09913
850,0.00000,0.00000,-0.01428,1,0.00,-0.55407
855,0.00000,0.00000,0.01428,1,0.00,0.17270
860,0.00000,0.00000,0.01428,1,0.00,0.12620
865,0.00000,0.00000,-0.02856,1,0.00,-0.62694
870,0.00000,0.00000,0.00000,1,0.00,0.00997
875,0.00000,0.00000,0.00000,1,0.00,-0.57575
880,0.00000,0.00000,0.00000,1,0.00,-0.57704
885,0.00000,0.00000,0.00000,1,0.00,-0.55682
890,0.00000,0.00000,0.02856,1,0.00,0.17325
895,0.00000,0.00000,0.00000,1,0.00,-0.57749
900,0.00000,0.00000,-0.02856,1,0.00,-0.65423
905,0.00000,0.00000,0.01428,1,0.00,0.14075
910,0.00000,0.00000,0.00000,1,0.00,-0.55615
915,0.00000,0.00000,-0.02856,1,0.00,-0.67245
920,0.00000,0.00000,-0.02856,1,0.00,-0.64791
925,0.00000,0.00000,0.02856,1,0.00,0.17972
930,0.00000,0.00000,-0.01428,1,0.00,-0.60123
935,0.00000,0.00000,0.00000,1,0.00,0.09501
940,0.00000,0.00000,0.02856,1,0.00,0.20144
945,0.00000,0.00000,0.00000,1,0.00,-0.55251
950,0.00000,0.00000,-0.01428,1,0.00,-0.58517
955,0.00000,0.00000,0.01428,1,0.00,0.15243
960,0.00000,0.00000,0.00000,1,0.00,-0.00720
965,0.00000,0.00000,-0.02856,1,0.00,-0.65682
970,0.00000,0.00000,0.00000,1,0.00,0.09159
975,0.00000,0.00000,0.02856,1,0.00,0.18085
980,0.00000,0.00000,-0.01428,1,0.00,-0.60878
985,0.00000,0.00000,0.00000,1,0.00,-0.00143
990,0.00000,0.00000,0.02856,1,0.00,0.20076
995,0.00000,0.00000,0.00000,1,0.00,-0.00387
1000,0.00000,0.00000,-0.01428,1,0.00,-0.58274
1005,0.00000,0.00000,0.01428,1,0.00,0.14990
1010,0.00000,0.00000,0.01428,1,0.00,0.11635
1015,0.00000,0.00000,-0.02856,1,0.00,-0.66793
1020,0.00000,0.00000,0.00000,1,0.00,0.00119
1025,0.00000,0.00000,0.01428,1,0.00,0.12931
1030,0.00000,0.00000,-0.01428,1,0.00,-0.62045
1035,0.00000,0.00000,0.00000,1,0.00,0.10317
1040,0.00000,0.00000,0.02856,1,0.00,0.21547
1045,0.00000,0.00000,0.01428,1,0.00,0.14970
1050,0.00000,0.00000,-0.02856,1,0.00,-0.62451
1055,0.00000,0.00000,0.01428,1,0.00,0.16007
1060,0.00000,0.00000,0.00000,1,0.00,-0.00563
1065,0.00000,0.00000,0.04284,1,0.00,0.24986
1070,0.00000,0.00000,-0.01428,1,0.00,-0.59147
1075,0.00000,0.00000,0.00000,1,0.00,-0.55605
1080,0.00000,0.00000,0.00000,1,0.00,-0.55426
1085,0.00000,0.00000,-0.01428,1,0.00,-0.57565
1090,0.00000,0.00000,0.02856,1,0.00,0.20468
1095,0.00000,0.00000,-0.01428,1,0.00,-0.59925
1100,0.00000,0.00000,-0.02856,1,0.00,-0.63921
1105,0.00000,0.00000,0.00000,1,0.00,0.09283
1110,0.00000,0.00000,0.00000,1,0.00,-0.55221
1115,0.00000,0.00000,-0.02856,1,0.00,-0.66292
1120,0.00000,0.00000,0.00000,1,0.00,0.00912
1125,0.00000,0.00000,0.01428,1,0.00,0.12111
1130,0.00000,0.00000,0.00000,1,0.00,-0.55621
1135,0.00000,0.00000,-0.02856,1,0.00,-0.64727
1140,0.00000,0.00000,0.02856,1,0.00,0.19827
1145,0.00000,0.00000,0.00000,1,0.00,-0.00410
1150,0.00000,0.00000,-0.01428,1,0.00,-0.58431
1155,0.00000,0.00000,0.01428,1,0.00,0.15427
1160,0.00000,0.00000,0.00000,1,0.00,-0.55343
1165,0.00000,0.00000,-0.01428,1,0.00,-0.60351
1170,0.00000,0.00000,0.00000,1,0.00,-0.55791
1175,0.00000,0.00000,0.01428,1,0.00,0.14986
1180,0.00000,0.00000,-0.01428,1,0.00,-0.61377
1185,0.00000,0.00000,-0.01428,1,0.00,-0.61844
1190,0.00000,0.00000,0.01428,1,0.00,0.11922
1195,0.00000,0.00000,0.00000,1,0.00,-0.57520
1200,0.00000,0.00000,-0.02856,1,0.00,-0.66003
1205,0.00000,0.00000,0.01428,1,0.00,0.13059
1210,0.00000,0.00000,0.01428,1,0.00,0.11193
1215,0.00000,0.00000,-0.02856,1,0.00,-0.66727
1220,0.00000,0.00000,0.01428,1,0.00,0.14731
1225,0.00000,0.00000,0.01428,1,0.00,0.14010
1230,0.00000,0.00000,-0.01428,1,0.00,-0.59094
1235,0.00000,0.00000,0.00000,1,0.00,0.10705
1240,0.00000,0.00000,0.01428,1,0.00,0.17062
1245,0.00000,0.00000,0.00000,1,0.00,-0.00171
1250,0.00000,0.00000,-0.01428,1,0.00,-0.57658
1255,0.00000,0.00000,0.01428,1,0.00,0.15607
1260,0.00000,0.00000,0.00000,1,0.00,-0.00437
1265,0.00000,0.00000,-0.02856,1,0.00,-0.65341
1270,0.00000,0.00000,0.00000,1,0.00,0.00304
1275,0.00000,0.00000,0.00000,1,0.00,-0.55033
1280,0.00000,0.00000,-0.01428,1,0.00,-0.61183
1285,0.00000,0.00000,-0.01428,1,0.00,-0.59408
1290,0.00000,0.00000,0.02856,1,0.00,0.19215
1295,0.00000,0.00000,-0.01428,1,0.00,-0.61532
1300,0.00000,0.00000,0.00000,1,0.00,-0.00141
1305,0.00000,0.00000,0.01428,1,0.00,0.14873
1310,0.00000,0.00000,0.00000,1,0.00,-0.55592
1315,0.00000,0.00000,-0.02856,1,0.00,-0.65658
1320,0.00000,0.00000,0.00000,1,0.00,0.10006
1325,0.00000,0.00000,0.00000,1,0.00,-0.00874
1330,0.00000,0.00000,-0.01428,1,0.00,-0.59913
1335,0.00000,0.00000,-0.01428,1,0.00,-0.58590
