==============================================================================
NEW TEST STARTED -> REFERENCE ANGLE: 0.0000 rad
==============================================================================
Time (ms),Original Ref (rad),Final Ref (rad),Angle (rad),TrialNum,TrialValue,U_Actual (V)
540,0.00000,0.00000,-0.01428,1,0.00,-0.57859
545,0.00000,0.00000,0.00000,1,0.00,0.10216
550,0.00000,0.00000,0.01428,1,0.00,0.13870
555,0.00000,0.00000,-0.01428,1,0.00,-0.61890
560,0.00000,0.00000,0.00000,1,0.00,-0.00847
565,0.00000,0.00000,0.00000,1,0.00,-0.00110
570,0.00000,0.00000,0.00000,1,0.00,-0.55661
575,0.00000,0.00000,-0.01428,1,0.00,-0.60198
580,0.00000,0.00000,0.00000,1,0.00,0.00907
585,0.00000,0.00000,0.00000,1,0.00,-0.55181
590,0.00000,0.00000,-0.01428,1,0.00,-0.60200
595,0.00000,0.00000,0.00000,1,0.00,-0.00224
600,0.00000,0.00000,0.01428,1,0.00,0.12552
605,0.00000,0.00000,-0.01428,1,0.00,-0.61059
610,0.00000,0.00000,-0.01428,1,0.00,-0.59545
615,0.00000,0.00000,0.01428,1,0.00,0.14478
620,0.00000,0.00000,0.01428,1,0.00,0.12781
625,0.00000,0.00000,-0.01428,1,0.00,-0.59996
630,0.00000,0.00000,0.00000,1,0.00,0.09104
635,0.00000,0.00000,0.00000,1,0.00,-0.00682
640,0.00000,0.00000,-0.01428,1,0.00,-0.61023
645,0.00000,0.00000,0.00000,1,0.00,0.00391
650,0.00000,0.00000,0.01428,1,0.00,0.12773
655,0.00000,0.00000,-0.01428,1,0.00,-0.60914
660,0.00000,0.00000,-0.01428,1,0.00,-0.59381
665,0.00000,0.00000,0.00000,1,0.00,-0.00700
670,0.00000,0.00000,-0.01428,1,0.00,-0.60418
675,0.00000,0.00000,-0.01428,1,0.00,-0.60175
680,0.00000,0.00000,0.00000,1,0.00,0.00211
685,0.00000,0.00000,0.00000,1,0.00,-0.00800
690,0.00000,0.00000,-0.01428,1,0.00,-0.60148
695,0.00000,0.00000,0.00000,1,0.00,0.00643
700,0.00000,0.00000,0.01428,1,0.00,0.13602
705,0.00000,0.00000,-0.01428,1,0.00,-0.60079
710,0.00000,0.00000,0.00000,1,0.00,0.09227
715,0.00000,0.00000,0.01428,1,0.00,0.14241
720,0.00000,0.00000,0.00000,1,0.00,-0.55032
725,0.00000,0.00000,-0.01428,1,0.00,-0.59799
730,0.00000,0.00000,0.01428,1,0.00,0.14880
735,0.00000,0.00000,0.00000,1,0.00,-0.00828
740,0.00000,0.00000,-0.01428,1,0.00,-0.61033
745,0.00000,0.00000,0.01428,1,0.00,0.13074
750,0.00000,0.00000,0.00000,1,0.00,-0.55497
755,0.00000,0.00000,-0.01428,1,0.00,-0.61223
760,0.00000,0.00000,0.00000,1,0.00,0.00378
765,0.00000,0.00000,0.00000,1,0.00,-0.00435
770,0.00000,0.00000,0.00000,1,0.00,-0.55368
775,0.00000,0.00000,0.00000,1,0.00,-0.00240
780,0.00000,0.00000,0.00000,1,0.00,0.00001
785,0.00000,0.00000,-0.01428,1,0.00,-0.59927
790,0.00000,0.00000,-0.01428,1,0.00,-0.58952
795,0.00000,0.00000,0.00000,1,0.00,0.10076
800,0.00000,0.00000,0.00000,1,0.00,0.09150
805,0.00000,0.00000,-0.01428,1,0.00,-0.58809
810,0.00000,0.00000,0.00000,1,0.00,0.10402
815,0.00000,0.00000,0.00000,1,0.00,0.00894
820,0.00000,0.00000,-0.01428,1,0.00,-0.59832
825,0.00000,0.00000,0.00000,1,0.00,0.00728
830,0.00000,0.00000,0.00000,1,0.00,0.00473
835,0.00000,0.00000,-0.01428,1,0.00,-0.61528
840,0.00000,0.00000,0.00000,1,0.00,-0.00705
845,0.00000,0.00000,0.00000,1,0.00,-0.00484
850,0.00000,0.00000,-0.01428,1,0.00,-0.61969
855,0.00000,0.00000,-0.02856,1,0.00,-0.66511
860,0.00000,0.00000,0.00000,1,0.00,-0.00774
865,0.00000,0.00000,0.00000,1,0.00,-0.55864
870,0.00000,0.00000,0.00000,1,0.00,-0.55523
875,0.00000,0.00000,0.00000,1,0.00,-0.55016
880,0.00000,0.00000,0.01428,1,0.00,0.12873
885,0.00000,0.00000,0.00000,1,0.00,-0.00995
890,0.00000,0.00000,-0.01428,1,0.00,-0.60415
895,0.00000,0.00000,0.00000,1,0.00,-0.55123
900,0.00000,0.00000,0.00000,1,0.00,-0.55649
905,0.00000,0.00000,-0.01428,1,0.00,-0.60412
910,0.00000,0.00000,-0.01428,1,0.00,-0.59243
915,0.00000,0.00000,0.00000,1,0.00,-0.00276
920,0.00000,0.00000,0.00000,1,0.00,0.00195
925,0.00000,0.00000,0.00000,1,0.00,0.00888
930,0.00000,0.00000,0.00000,1,0.00,-0.00220
935,0.00000,0.00000,0.00000,1,0.00,0.00061
940,0.00000,0.00000,-0.01428,1,0.00,-0.59014
945,0.00000,0.00000,-0.02856,1,0.00,-0.65652
950,0.00000,0.00000,0.00000,1,0.00,-0.00198
955,0.00000,0.00000,0.00000,1,0.00,0.00367
960,0.00000,0.00000,0.00000,1,0.00,0.00156
965,0.00000,0.00000,0.00000,1,0.00,-0.55285
970,0.00000,0.00000,-0.01428,1,0.00,-0.59802
975,0.00000,0.00000,0.00000,1,0.00,0.09065
980,0.00000,0.00000,0.01428,1,0.00,0.15194
985,0.00000,0.00000,0.00000,1,0.00,0.00640
990,0.00000,0.00000,-0.01428,1,0.00,-0.58764
995,0.00000,0.00000,0.00000,1,0.00,0.00353
1000,0.00000,0.00000,0.00000,1,0.00,-0.55557
1005,0.00000,0.00000,-0.01428,1,0.00,-0.61583
1010,0.00000,0.00000,0.01428,1,0.00,0.12416
1015,0.00000,0.00000,0.00000,1,0.00,-0.55639
1020,0.00000,0.00000,0.00000,1,0.00,-0.55905
1025,0.00000,0.00000,0.00000,1,0.00,-0.00803
1030,0.00000,0.00000,0.00000,1,0.00,0.00084
1035,0.00000,0.00000,-0.01428,1,0.00,-0.59318
1040,0.00000,0.00000,0.00000,1,0.00,0.00023
1045,0.00000,0.00000,-0.01428,1,0.00,-0.59545
1050,0.00000,0.00000,0.05712,1,0.00,0.30771
1055,0.00000,0.00000,-0.01428,1,0.00,-0.61248
1060,0.00000,0.00000,0.00000,1,0.00,-0.00047
1065,0.00000,0.00000,0.00000,1,0.00,0.09024
1070,0.00000,0.00000,0.00000,1,0.00,0.09429
1075,0.00000,0.00000,-0.01428,1,0.00,-0.57766
1080,0.00000,0.00000,0.01428,1,0.00,0.14660
1085,0.00000,0.00000,0.00000,1,0.00,0.00561
1090,0.00000,0.00000,0.00000,1,0.00,0.09488
1095,0.00000,0.00000,0.00000,1,0.00,0.09337
1100,0.00000,0.00000,-0.01428,1,0.00,-0.60228
1105,0.00000,0.00000,-0.01428,1,0.00,-0.60001
1110,0.00000,0.00000,0.02856,1,0.00,0.19854
1115,0.00000,0.00000,0.00000,1,0.00,-0.00719
1120,0.00000,0.00000,0.00000,1,0.00,0.00675
1125,0.00000,0.00000,-0.01428,1,0.00,-0.59022
1130,0.00000,0.00000,-0.01428,1,0.00,-0.59473
1135,0.00000,0.00000,0.00000,1,0.00,0.00070
1140,0.00000,0.00000,0.00000,1,0.00,-0.00276
1145,0.00000,0.00000,-0.01428,1,0.00,-0.60245
1150,0.00000,0.00000,0.00000,1,0.00,0.00263
1155,0.00000,0.00000,-0.01428,1,0.00,-0.61369
1160,0.00000,0.00000,0.00000,1,0.00,0.10983
1165,0.00000,0.00000,0.00000,1,0.00,0.00498
1170,0.00000,0.00000,0.00000,1,0.00,-0.55113
1175,0.00000,0.00000,-0.01428,1,0.00,-0.61371
1180,0.00000,0.00000,0.00000,1,0.00,-0.55386
1185,0.00000,0.00000,0.00000,1,0.00,-0.56504
1190,0.00000,0.00000,-0.01428,1,0.00,-0.60523
1195,0.00000,0.00000,0.00000,1,0.00,-0.00724
1200,0.00000,0.00000,0.00000,1,0.00,-0.55146
1205,0.00000,0.00000,-0.01428,1,0.00,-0.60271
1210,0.00000,0.00000,0.00000,1,0.00,-0.00999
1215,0.00000,0.00000,0.01428,1,0.00,0.11782
1220,0.00000,0.00000,0.00000,1,0.00,0.00758
1225,0.00000,0.00000,0.00000,1,0.00,0.00191
1230,0.00000,0.00000,0.01428,1,0.00,0.13593
1235,0.00000,0.00000,0.00000,1,0.00,-0.55074
1240,0.00000,0.00000,-0.01428,1,0.00,-0.61562
1245,0.00000,0.00000,-0.01428,1,0.00,-0.60496
1250,0.00000,0.00000,0.01428,1,0.00,0.13983
1255,0.00000,0.00000,-0.01428,1,0.00,-0.59994
1260,0.00000,0.00000,-0.01428,1,0.00,-0.59056
1265,0.00000,0.00000,0.01428,1,0.00,0.14038
1270,0.00000,0.00000,0.01428,1,0.00,0.14477
1275,0.00000,0.00000,0.00000,1,0.00,0.00978
1280,0.00000,0.00000,0.01428,1,0.00,0.15131
1285,0.00000,0.00000,0.01428,1,0.00,0.13874
1290,0.00000,0.00000,0.00000,1,0.00,0.00370
1295,0.00000,0.00000,-0.01428,1,0.00,-0.58677
1300,0.00000,0.00000,0.01428,1,0.00,0.13793
1305,0.00000,0.00000,-0.01428,1,0.00,-0.59336
1310,0.00000,0.00000,0.00000,1,0.00,0.09216
1315,0.00000,0.00000,0.00000,1,0.00,0.00438
1320,0.00000,0.00000,0.00000,1,0.00,0.00374
1325,0.00000,0.00000,-0.01428,1,0.00,-0.58049
1330,0.00000,0.00000,0.01428,1,0.00,0.14985
1335,0.00000,0.00000,0.00000,1,0.00,0.00128
1340,0.00000,0.00000,-0.01428,1,0.00,-0.59557
1345,0.00000,0.00000,0.00000,1,0.00,-0.00012
1350,0.00000,0.00000,0.00000,1,0.00,-0.55144
1355,0.00000,0.00000,-0.01428,1,0.00,-0.62106
1360,0.00000,0.00000,0.01428,1,0.00,0.13749
1365,0.00000,0.00000,0.00000,1,0.00,0.00102
1370,0.00000,0.00000,0.00000,1,0.00,-0.00685
1375,0.00000,0.00000,-0.01428,1,0.00,-0.58875
1380,0.00000,0.00000,0.01428,1,0.00,0.15772
1385,0.00000,0.00000,0.00000,1,0.00,0.00953
1390,0.00000,0.00000,-0.01428,1,0.00,-0.59461
1395,0.00000,0.00000,-0.01428,1,0.00,-0.59466
1400,0.00000,0.00000,0.00000,1,0.00,-0.00807
1405,0.00000,0.00000,-0.01428,1,0.00,-0.62627
1410,0.00000,0.00000,-0.01428,1,0.00,-0.61107
1415,0.00000,0.00000,0.00000,1,0.00,-0.56080
1420,0.00000,0.00000,0.00000,1,0.00,-0.55745
1425,0.00000,0.00000,-0.01428,1,0.00,-0.60721
1430,0.00000,0.00000,0.01428,1,0.00,0.13675
1435,0.00000,0.00000,0.00000,1,0.00,-0.55218
1440,0.00000,0.00000,0.00000,1,0.00,0.00250
1445,0.00000,0.00000,0.00000,1,0.00,0.00669
1450,0.00000,0.00000,0.00000,1,0.00,-0.00751
1455,0.00000,0.00000,0.00000,1,0.00,-0.00318
1460,0.00000,0.00000,0.00000,1,0.00,0.00401
1465,0.00000,0.00000,0.00000,1,0.00,-0.00634
1470,0.00000,0.00000,0.00000,1,0.00,0.00466
1475,0.00000,0.00000,-0.01428,1,0.00,-0.59318
1480,0.00000,0.00000,0.00000,1,0.00,0.00476
1485,0.00000,0.00000,0.00000,1,0.00,-0.55227
1490,0.00000,0.00000,-0.01428,1,0.00,-0.60015
1495,0.00000,0.00000,0.01428,1,0.00,0.13668
1500,0.00000,0.00000,0.01428,1,0.00,0.12783
1505,0.00000,0.00000,-0.01428,1,0.00,-0.61452
1510,0.00000,0.00000,0.00000,1,0.00,-0.00385
1515,0.00000,0.00000,0.00000,1,0.00,0.00032
1520,0.00000,0.00000,-0.01428,1,0.00,-0.59921
1525,0.00000,0.00000,0.00000,1,0.00,0.09050
1530,0.00000,0.00000,0.00000,1,0.00,0.10071
1535,0.00000,0.00000,0.00000,1,0.00,0.00872
1540,0.00000,0.00000,0.00000,1,0.00,0.09991
1545,0.00000,0.00000,-0.01428,1,0.00,-0.58264
1550,0.00000,0.00000,0.00000,1,0.00,0.00743
1555,0.00000,0.00000,-0.01428,1,0.00,-0.59616
1560,0.00000,0.00000,-0.01428,1,0.00,-0.60100
1565,0.00000,0.00000,0.00000,1,0.00,-0.00576
1570,0.00000,0.00000,-0.01428,1,0.00,-0.60676
1575,0.00000,0.00000,0.00000,1,0.00,-0.55094
1580,0.00000,0.00000,0.01428,1,0.00,0.13058
1585,0.00000,0.00000,-0.01428,1,0.00,-0.61590
1590,0.00000,0.00000,0.00000,1,0.00,-0.55254
1595,0.00000,0.00000,0.01428,1,0.00,0.13698
1600,0.00000,0.00000,0.00000,1,0.00,-0.55161
1605,0.00000,0.00000,-0.01428,1,0.00,-0.59821
1610,0.00000,0.00000,-0.01428,1,0.00,-0.58585
1615,0.00000,0.00000,0.00000,1,0.00,-0.00790
1620,0.00000,0.00000,0.00000,1,0.00,-0.55109
1625,0.00000,0.00000,0.00000,1,0.00,-0.00768
1630,0.00000,0.00000,0.00000,1,0.00,-0.55584
1635,0.00000,0.00000,0.00000,1,0.00,-0.00907
1640,0.00000,0.00000,0.00000,1,0.00,-0.00563
1645,0.00000,0.00000,0.00000,1,0.00,-0.00218
1650,0.00000,0.00000,0.01428,1,0.00,0.13865
1655,0.00000,0.00000,-0.01428,1,0.00,-0.60716
1660,0.00000,0.00000,-0.01428,1,0.00,-0.59827
1665,0.00000,0.00000,0.00000,1,0.00,-0.00314
1670,0.00000,0.00000,0.00000,1,0.00,-0.00526
1675,0.00000,0.00000,0.01428,1,0.00,0.14875
1680,0.00000,0.00000,0.01428,1,0.00,0.14459
1685,0.00000,0.00000,0.00000,1,0.00,0.00880
1690,0.00000,0.00000,-0.01428,1,0.00,-0.57158
1695,0.00000,0.00000,0.00000,1,0.00,0.09188
1700,0.00000,0.00000,0.00000,1,0.00,0.00464
1705,0.00000,0.00000,-0.01428,1,0.00,-0.58806
1710,0.00000,0.00000,0.00000,1,0.00,0.00514
1715,0.00000,0.00000,0.00000,1,0.00,-0.00699
1720,0.00000,0.00000,0.00000,1,0.00,-0.55488
1725,0.00000,0.00000,0.00000,1,0.00,-0.00637
1730,0.00000,0.00000,0.00000,1,0.00,0.00072
1735,0.00000,0.00000,0.00000,1,0.00,0.00403
1740,0.00000,0.00000,-0.01428,1,0.00,-0.59378
1745,0.00000,0.00000,-0.01428,1,0.00,-0.59218
1750,0.00000,0.00000,0.00000,1,0.00,0.00315
1755,0.00000,0.00000,-0.01428,1,0.00,-0.60169
1760,0.00000,0.00000,0.01428,1,0.00,0.14299
1765,0.00000,0.00000,0.00000,1,0.00,-0.00729
1770,0.00000,0.00000,0.00000,1,0.00,-0.55611
