==============================================================================
NEW TEST STARTED -> REFERENCE ANGLE: 0.0000 rad
==============================================================================
Time (ms),Original Ref (rad),Final Ref (rad),Angle (rad),TrialNum,TrialValue,U_Actual (V),Ball
0,0.00000,0.00000,0.13946,1,0.00,0.52663,503.00
4,0.00000,0.00000,0.09542,1,0.00,0.38553,501.00
8,0.00000,0.00000,0.08074,1,0.00,0.33964,505.00
12,0.00000,0.00000,0.06606,1,0.00,0.29545,503.00
16,0.00000,0.00000,0.05138,1,0.00,0.25228,503.00
20,0.00000,0.00000,0.03670,1,0.00,0.20977,503.00
24,0.00000,0.00000,0.02202,1,0.00,0.16760,503.00
28,0.00000,0.00000,0.02202,1,0.00,0.17254,504.00
36,0.00000,0.00000,0.00734,1,0.00,0.13522,507.00
40,0.00000,0.00000,-0.00734,1,0.00,0.09254,504.00
44,0.00000,0.00000,-0.00734,1,0.00,0.09677,503.00
48,0.00000,0.00000,-0.02202,1,0.00,-0.56666,503.00
52,0.00000,0.00000,-0.02202,1,0.00,-0.56356,503.00
56,0.00000,0.00000,-0.02202,1,0.00,-0.56074,503.00
64,0.00000,0.00000,-0.02202,1,0.00,-0.55568,502.00
68,0.00000,0.00000,-0.02202,1,0.00,-0.55368,503.00
72,0.00000,0.00000,-0.02202,1,0.00,-0.61810,503.00
76,0.00000,0.00000,-0.02202,1,0.00,-0.56561,503.00
80,0.00000,0.00000,-0.02202,1,0.00,0.09772,499.00
84,0.00000,0.00000,-0.02202,1,0.00,-0.57032,502.00
92,0.00000,0.00000,-0.02202,1,0.00,-0.00295,502.00
96,0.00000,0.00000,-0.02202,1,0.00,-0.59000,503.00
100,0.00000,0.00000,-0.02202,1,0.00,-0.65179,502.00
104,0.00000,0.00000,-0.02202,1,0.00,-0.69592,502.00
108,0.00000,0.00000,-0.02202,1,0.00,-0.73137,502.00
112,0.00000,0.00000,-0.02202,1,0.00,-0.74985,503.00
116,0.00000,0.00000,-0.02202,1,0.00,-0.75124,503.00
124,0.00000,0.00000,-0.02202,1,0.00,-0.72884,503.00
128,0.00000,0.00000,-0.00734,1,0.00,-0.67157,502.00
132,0.00000,0.00000,-0.00734,1,0.00,-0.64837,502.00
136,0.00000,0.00000,-0.00734,1,0.00,-0.63160,502.00
140,0.00000,0.00000,-0.00734,1,0.00,-0.61163,502.00
148,0.00000,0.00000,-0.00734,1,0.00,-0.57289,502.00
152,0.00000,0.00000,-0.00734,1,0.00,-0.55839,501.00
156,0.00000,0.00000,-0.00734,1,0.00,-0.00808,502.00
160,0.00000,0.00000,-0.00734,1,0.00,-0.00167,503.00
164,0.00000,0.00000,-0.00734,1,0.00,0.00157,503.00
172,0.00000,0.00000,-0.00734,1,0.00,0.00165,503.00
176,0.00000,0.00000,-0.00734,1,0.00,-0.00016,503.00
180,0.00000,0.00000,-0.00734,1,0.00,-0.00242,503.00
184,0.00000,0.00000,-0.00734,1,0.00,-0.00481,503.00
188,0.00000,0.00000,-0.00734,1,0.00,-0.00710,503.00
192,0.00000,0.00000,-0.00734,1,0.00,-0.00914,503.00
