==============================================================================
NEW TEST STARTED -> REFERENCE ANGLE: 0.0000 rad
==============================================================================
Time (ms),Original Ref (rad),Final Ref (rad),Angle (rad),TrialNum,TrialValue,U_Actual (V),Ball
0,0.00000,0.00000,0.69732,1,0.00,2.31317,310.00
4,0.00000,0.00000,0.71200,1,0.00,2.35989,310.00
8,0.00000,0.00000,0.72668,1,0.00,2.41240,310.00
12,0.00000,0.00000,0.72668,1,0.00,2.42833,310.00
16,0.00000,0.00000,0.74136,1,0.00,2.50056,310.00
20,0.00000,0.00000,0.74136,1,0.00,2.53398,310.00
24,0.00000,0.00000,0.72668,1,0.00,2.52760,310.00
28,0.00000,0.00000,0.72668,1,0.00,2.57483,310.00
32,0.00000,0.00000,0.71200,1,0.00,2.58156,310.00
40,0.00000,0.00000,0.68264,1,0.00,2.60943,310.00
44,0.00000,0.00000,0.66796,1,0.00,2.63030,310.00
48,0.00000,0.00000,0.65328,1,0.00,2.65370,310.00
52,0.00000,0.00000,0.63859,1,0.00,2.67971,310.00
56,0.00000,0.00000,0.62391,1,0.00,2.70925,310.00
60,0.00000,0.00000,0.60923,1,0.00,2.74243,310.00
64,0.00000,0.00000,0.59455,1,0.00,2.78068,310.00
68,0.00000,0.00000,0.57987,1,0.00,2.82109,310.00
72,0.00000,0.00000,0.56519,1,0.00,2.53333,310.00
80,0.00000,0.00000,0.53583,1,0.00,2.98996,310.00
84,0.00000,0.00000,0.52115,1,0.00,2.85431,310.00
88,0.00000,0.00000,0.49179,1,0.00,3.02233,310.00
92,0.00000,0.00000,0.47711,1,0.00,3.02033,310.00
96,0.00000,0.00000,0.46243,1,0.00,2.83592,310.00
100,0.00000,0.00000,0.44775,1,0.00,2.51913,310.00
108,0.00000,0.00000,0.41839,1,0.00,1.88443,310.00
112,0.00000,0.00000,0.40371,1,0.00,1.61203,310.00
116,0.00000,0.00000,0.37435,1,0.00,1.35444,310.00
120,0.00000,0.00000,0.35967,1,0.00,1.19278,310.00
124,0.00000,0.00000,0.34499,1,0.00,1.07452,310.00
128,0.00000,0.00000,0.33031,1,0.00,0.99470,310.00
132,0.00000,0.00000,0.31563,1,0.00,0.94250,310.00
136,0.00000,0.00000,0.30095,1,0.00,0.91085,310.00
144,0.00000,0.00000,0.27159,1,0.00,0.88319,310.00
148,0.00000,0.00000,0.25691,1,0.00,0.87539,310.00
152,0.00000,0.00000,0.24223,1,0.00,0.86606,310.00
156,0.00000,0.00000,0.22755,1,0.00,0.85288,310.00
160,0.00000,0.00000,0.21286,1,0.00,0.84110,310.00
164,0.00000,0.00000,0.21286,1,0.00,0.86025,310.00
172,0.00000,0.00000,0.18350,1,0.00,0.79260,310.00
176,0.00000,0.00000,0.18350,1,0.00,0.80161,310.00
180,0.00000,0.00000,0.16882,1,0.00,0.74691,310.00
184,0.00000,0.00000,0.15414,1,0.00,0.70116,310.00
188,0.00000,0.00000,0.15414,1,0.00,0.71853,310.00
192,0.00000,0.00000,0.13946,1,0.00,0.65953,310.00
196,0.00000,0.00000,0.13946,1,0.00,0.65474,310.00
200,0.00000,0.00000,0.12478,1,0.00,0.60694,310.00
208,0.00000,0.00000,0.11010,1,0.00,0.53108,310.00
212,0.00000,0.00000,0.11010,1,0.00,0.51709,310.00
216,0.00000,0.00000,0.09542,1,0.00,0.45633,310.00
220,0.00000,0.00000,0.09542,1,0.00,0.44259,310.00
224,0.00000,0.00000,0.09542,1,0.00,0.42903,310.00
232,0.00000,0.00000,0.08074,1,0.00,0.35769,310.00
236,0.00000,0.00000,0.06606,1,0.00,0.29428,310.00
240,0.00000,0.00000,0.05138,1,0.00,0.24350,310.00
244,0.00000,0.00000,0.05138,1,0.00,0.24389,310.00
248,0.00000,0.00000,0.05138,1,0.00,0.23127,310.00
252,0.00000,0.00000,0.05138,1,0.00,0.23914,310.00
256,0.00000,0.00000,0.05138,1,0.00,0.24639,310.00
264,0.00000,0.00000,0.03670,1,0.00,0.19725,310.00
268,0.00000,0.00000,0.05138,1,0.00,0.24366,310.00
272,0.00000,0.00000,0.03670,1,0.00,0.19565,310.00
276,0.00000,0.00000,0.03670,1,0.00,0.19759,310.00
280,0.00000,0.00000,0.02202,1,0.00,0.15151,310.00
284,0.00000,0.00000,0.02202,1,0.00,0.15374,310.00
288,0.00000,0.00000,0.02202,1,0.00,0.15362,310.00
296,0.00000,0.00000,0.00734,1,0.00,0.09867,310.00
300,0.00000,0.00000,0.00734,1,0.00,0.10842,310.00
304,0.00000,0.00000,0.00734,1,0.00,0.10086,310.00
308,0.00000,0.00000,0.00734,1,0.00,0.10171,310.00
312,0.00000,0.00000,0.00734,1,0.00,0.10908,310.00
316,0.00000,0.00000,0.00734,1,0.00,0.09578,310.00
324,0.00000,0.00000,-0.00734,1,0.00,-0.57748,310.00
328,0.00000,0.00000,-0.00734,1,0.00,-0.58326,310.00
332,0.00000,0.00000,-0.00734,1,0.00,-0.57526,310.00
336,0.00000,0.00000,-0.00734,1,0.00,-0.57378,310.00
340,0.00000,0.00000,-0.00734,1,0.00,-0.58054,310.00
348,0.00000,0.00000,-0.00734,1,0.00,-0.56600,310.00
352,0.00000,0.00000,-0.00734,1,0.00,-0.57004,310.00
356,0.00000,0.00000,-0.00734,1,0.00,-0.56647,310.00
360,0.00000,0.00000,-0.00734,1,0.00,-0.57675,310.00
