==============================================================================
NEW TEST STARTED -> REFERENCE ANGLE: 0.0000 rad
==============================================================================
Time (ms),Original Ref (rad),Final Ref (rad),Angle (rad),TrialNum,TrialValue,U_Actual (V),Ball
0,0.00000,0.00000,0.69732,1,0.00,2.31317,301.00
4,0.00000,0.00000,0.71200,1,0.00,2.35989,301.00
8,0.00000,0.00000,0.71200,1,0.00,2.36539,301.00
12,0.00000,0.00000,0.71200,1,0.00,2.38132,301.00
20,0.00000,0.00000,0.71200,1,0.00,2.43951,301.00
24,0.00000,0.00000,0.72668,1,0.00,2.52653,301.00
28,0.00000,0.00000,0.72668,1,0.00,2.57272,301.00
32,0.00000,0.00000,0.71200,1,0.00,2.57834,301.00
36,0.00000,0.00000,0.69732,1,0.00,2.58929,301.00
40,0.00000,0.00000,0.69732,1,0.00,2.65137,301.00
44,0.00000,0.00000,0.68264,1,0.00,2.67146,301.00
52,0.00000,0.00000,0.65328,1,0.00,2.71996,301.00
56,0.00000,0.00000,0.63859,1,0.00,2.74948,301.00
60,0.00000,0.00000,0.62391,1,0.00,2.78284,301.00
64,0.00000,0.00000,0.59455,1,0.00,2.77440,301.00
68,0.00000,0.00000,0.60923,1,0.00,2.90937,301.00
72,0.00000,0.00000,0.57987,1,0.00,2.57502,301.00
76,0.00000,0.00000,0.56519,1,0.00,2.76481,301.00
84,0.00000,0.00000,0.52115,1,0.00,2.85490,301.00
88,0.00000,0.00000,0.50647,1,0.00,3.07311,301.00
92,0.00000,0.00000,0.47711,1,0.00,3.02572,301.00
96,0.00000,0.00000,0.46243,1,0.00,2.81985,301.00
100,0.00000,0.00000,0.44775,1,0.00,2.51551,301.00
104,0.00000,0.00000,0.41839,1,0.00,2.15011,301.00
112,0.00000,0.00000,0.38903,1,0.00,1.58882,301.00
116,0.00000,0.00000,0.37435,1,0.00,1.39455,301.00
120,0.00000,0.00000,0.35967,1,0.00,1.24181,301.00
124,0.00000,0.00000,0.33031,1,0.00,1.07043,301.00
128,0.00000,0.00000,0.31563,1,0.00,0.98927,302.00
132,0.00000,0.00000,0.30095,1,0.00,0.93020,307.00
136,0.00000,0.00000,0.28627,1,0.00,0.89462,302.00
144,0.00000,0.00000,0.25691,1,0.00,0.83444,308.00
148,0.00000,0.00000,0.24223,1,0.00,0.82664,308.00
152,0.00000,0.00000,0.22755,1,0.00,0.79946,311.00
156,0.00000,0.00000,0.21286,1,0.00,0.78871,309.00
160,0.00000,0.00000,0.19818,1,0.00,0.75922,310.00
164,0.00000,0.00000,0.18350,1,0.00,0.73947,311.00
168,0.00000,0.00000,0.18350,1,0.00,0.74390,312.00
172,0.00000,0.00000,0.16882,1,0.00,0.70001,311.00
180,0.00000,0.00000,0.13946,1,0.00,0.61683,311.00
184,0.00000,0.00000,0.12478,1,0.00,0.57912,310.00
188,0.00000,0.00000,0.12478,1,0.00,0.58836,312.00
192,0.00000,0.00000,0.11010,1,0.00,0.53015,311.00
196,0.00000,0.00000,0.11010,1,0.00,0.54296,311.00
200,0.00000,0.00000,0.11010,1,0.00,0.53216,311.00
204,0.00000,0.00000,0.09542,1,0.00,0.47071,310.00
212,0.00000,0.00000,0.09542,1,0.00,0.44560,311.00
216,0.00000,0.00000,0.08074,1,0.00,0.38380,312.00
220,0.00000,0.00000,0.08074,1,0.00,0.37157,311.00
224,0.00000,0.00000,0.06606,1,0.00,0.31400,313.00
